N_ITERS,N_STAB,SAMP_SIZE,METrain_agreement,MET_fidelity,ME_size,KME_size,MEG_fidelity,KMEG_fidelity,MER2,KMER2,Time_elapsed
20,1,0.2,1.0,0.9992857407306346,1549,1,0.9962862085878726,-3.8163634186183515e-07,0.9985105713098575,-4.948217048039716e-05,5.6697118282318115
20,2,0.2,-4.909895501174254e+28,0.9993308293552694,1477,1,0.9960584363171294,-0.00015940998740138212,0.998526269603688,-2.35377078692256e-05,11.43498182296753
20,3,0.2,0.3333333333333333,0.9991206697137719,1455,1,0.9958530315805589,-0.0022736988940967873,0.9983761894506479,-0.0030079087140411076,17.62895154953003
20,5,0.2,-7.13748402537758e+27,0.9992787518521951,1505,1,0.9961766827206431,-2.0737798689163256e-05,0.9985769334413508,-9.104357212574854e-07,28.10391402244568
20,7,0.2,-9.898500252128596e+28,0.9992546600019625,1513,1,0.9961334045500817,-0.00030431918790974066,0.9986927662352258,-0.00018934815605842203,43.605167865753174
20,9,0.2,-1.8776483309099678e+28,0.9994484309419829,1497,1,0.9962188860721896,-0.00021107420301746949,0.9987098089163263,-0.00011800870859279833,63.175777435302734

20,1,0.3,1.0,0.9994641258197666,1881,1,0.9960847866492483,-5.926097141606412e-05,0.9986637191787952,-2.2891819599690777e-05,8.576410055160522
20,2,0.3,-2.4054450635183234e+28,0.9993821030829477,1799,1,0.9959173768350644,-1.5368471550480933e-05,0.9985471086452022,-4.5498598323145956e-05,20.43928289413452
20,3,0.3,-4.064336908309313e+26,0.9996189752782101,1757,1,0.9958522079731753,-0.001465575791273599,0.9987184255897447,-0.0012345453054887212,33.172152519226074
20,5,0.3,-2.908024014266228e+28,0.9995729572976366,1769,1,0.9960702733245105,-0.00010636429966393024,0.9982116723010187,-1.52519392071504e-05,57.97295069694519
20,7,0.3,-2.076406334174602e+28,0.9996337676352777,1725,1,0.9958270770583231,-1.609839913907507e-05,0.998060271623819,-0.00010613614833765439,94.92531299591064
20,9,0.3,-2.08276056979352e+28,0.9994038550399219,1777,1,0.9959346780823112,-9.230261345583024e-05,0.998133293280817,-1.0273975204810881e-05,120.75112581253052

20,1,0.4,1.0,0.9992648701504314,1947,1,0.9955677082212953,-0.002078685220955334,0.998240673328778,-0.0017101734333715424,8.666052341461182
20,2,0.4,0.5,0.9995677020412064,1979,1,0.9954645372707767,-9.375608380457479e-05,0.9982190923076253,-3.3267961283556247e-05,18.33914542198181
20,3,0.4,-4.825237847382714e+28,0.9992925765828431,2075,1,0.9954966705225454,-5.556464046940768e-05,0.998231730794058,-1.2668668725401844e-05,29.862640142440796
20,5,0.4,-5.240382565589017e+28,0.9995355032749642,1979,1,0.9959151493857015,-6.88276666156451e-05,0.9987253916596158,-6.95229768239436e-05,71.87761878967285
20,7,0.4,-3.0263664690242406e+28,0.9995178052891358,2001,1,0.9959516263404885,-2.154071033544369e-05,0.9986727585304965,-1.9064404410462643e-05,102.47132563591003
20,9,0.4,-6.844630805510805e+27,0.9995635664583764,2037,1,0.995883093789636,-0.0004420921757655183,0.9986791155319953,-0.00043423947703224997,148.66487312316895

25,1,0.2,1.0,0.9993713899712572,1499,1,0.9959236140940562,-0.0012463180489421521,0.9986154559940441,-0.0015227641202515407,5.303032875061035
25,2,0.2,0.5,0.9994162687729491,1489,1,0.9958223637153775,-0.0025510283559515567,0.9985867601168931,-0.00292894294242263,11.460803985595703
25,3,0.2,-1.0250133198234586e+28,0.9993255474387808,1541,1,0.9958071158170068,-0.0019125932594583617,0.9985352982319168,-0.0022461013523866757,18.009023427963257
25,5,0.2,-1.397517060898828e+28,0.9996483721968125,1487,1,0.9961509863350219,-0.000580127382652007,0.9986693589676596,-0.00041444242267241194,36.319995641708374
25,7,0.2,-6.982098302162905e+28,0.9995285088632353,1501,1,0.9962217958337046,-5.9434956939163897e-05,0.9987346486901518,-1.6719717733648665e-05,58.03180909156799
25,9,0.2,-2.816174052271389e+28,0.9993691978208955,1497,1,0.9961940148198949,-0.00016189107547548431,0.9985996334123453,-0.0002627605979885761,82.47643256187439

25,1,0.3,1.0,0.9995096724729534,1717,1,0.9959430081881014,-0.00041211688031639326,0.9986621850438593,-0.00029897900832343005,11.569600820541382
25,2,0.3,-3.535927611857779e+28,0.9996516915236119,1811,1,0.9961019241100967,-0.0002512143517450216,0.9987093043048089,-0.00016574045835415774,23.88877582550049
25,3,0.3,0.3333333333333333,0.9996708336606338,1803,1,0.9960748469163065,-0.00021426556749570835,0.9986863240378504,-0.00013621998903046162,41.994786739349365
25,5,0.3,-7.849557376738346e+27,0.9994674707459621,1713,1,0.9955980553743544,-0.00012392211773182282,0.9980534750969513,-0.00030148617072001116,75.44157433509827
25,7,0.3,-1.913642950043423e+28,0.9995928390176865,1687,1,0.9959292026020701,-2.9074742214696414e-05,0.9982001057112603,-9.512226213370667e-07,116.68889498710632
25,9,0.3,-1.1048203251570995e+28,0.9995329342548795,1761,1,0.9959887703019628,-4.244627608063212e-05,0.9981665354835052,-1.916182035266445e-08,159.3871669769287

25,1,0.4,1.0,0.999459200843771,2029,1,0.9956594514163265,-1.2047382072388757e-05,0.9983181981866797,-1.5058508440191076e-07,11.078351497650146
25,2,0.4,-8.525247121647466e+28,0.9994823474861628,1979,1,0.9954649147250436,-0.00023877888710299722,0.9982039750821633,-0.00013191838379222887,23.69108009338379
25,3,0.4,0.3333333333333333,0.9995759014063618,2037,1,0.9954321024288936,-0.0002679997401933143,0.9982547069914767,-0.0004020417992178782,38.59132623672485
